ubicación,precio,tamaño,habitaciones,baños,estacionamientos,link
 La Rioja,3600000,180,3 ,3.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1918046
 La Rioja,3400000,180,3 ,3.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1892673
 La Rioja,4300000,254,3 ,3.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2216032
 La Rioja,4850000,296,3 ,3.5  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1292344
 La Rioja,6000000,283,4 ,4.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2215542
 La Rioja,4500000,242,3 ,4.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2201227
 La Rioja,4690000,262,4 ,4.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1918326
 La Rioja,5950000,253,4 ,5.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2193310
 La Rioja,5796000,253,3 ,3.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2173850
 La Rioja,5690000,253,3 ,3.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2173843
 La Rioja,5500000,248,4 ,4.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2099209
 La Rioja,6550000,271,4 ,4.5  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1647386
 La Rioja,5800000,253,4 ,5.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1965529
 La Rioja,6100000,286,4 ,4.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1692038
 La Rioja,5800000,253,4 ,5.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2157800
 La Rioja,4700000,253,4 ,4.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1855203
 La Rioja,4700000,253,4 ,4.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1855208
 La Rioja,5850000,254,3 ,4.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1791198
 La Rioja,3700000,160,3 ,2.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2146712
 La Rioja,5690000,253,3 ,4.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1944396
 La Rioja,4200000,249,3 ,4.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1894693
 La Rioja,4600000,253,3 ,4.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1940761
 La Rioja,4200000,253,3 ,3.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1916856
 La Rioja,4600000,253,3 ,5.0  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2032513
 La Rioja,6900000,269,4 ,4.0  , 4.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2107379
 La Rioja,4990000,253,4 ,4.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2035775
 La Rioja,5690000,253,4 ,5.5  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2093840
 La Rioja,5796000,253,4 ,5.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2094085
 La Rioja,4990000,253,3 ,4.0  , 2.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-2088730
 La Rioja,4690000,255,3 ,3.5  , 3.0  ,http://www.casasyterrenos.com/detalle-casa/venta-la+rioja-tlajomulco+de+zuniga-jalisco-45640-1952381
